"id","relid","year","type_of_violence","conflict_name","side_a","side_b","latitude","longitude","region","deaths_a","deaths_b","deaths_civilians","deaths_unknown"
76941,"SRI-1994-2-384-6",1994,2,"Supporters of PA - Supporters of UNP","Supporters of PA","Supporters of UNP",8.0454,79.9319,"Asia",0,0,0,1
77596,"SRI-2005-2-108-24",2005,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.75,81.4997,"Asia",0,0,0,0
77680,"SRI-2005-2-108-2",2005,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.966667,81.383333,"Asia",0,0,0,0
77748,"SRI-1994-2-384-1",1994,2,"Supporters of PA - Supporters of UNP","Supporters of PA","Supporters of UNP",7.0,81.0,"Asia",0,0,0,7
77698,"SRI-1989-2-12136-2",1989,2,"Muslims (Sri Lanka) - Tamil","Muslims (Sri Lanka)","Tamil",7.357502,81.795185,"Asia",10,0,0,0
77702,"SRI-2006-2-108-4",2006,2,"LTTE - LTTE - K","LTTE","LTTE - K",8.4854,81.291,"Asia",5,0,0,0
77708,"SRI-2005-2-108-15",2005,2,"LTTE - LTTE - K","LTTE","LTTE - K",8.0,81.0,"Asia",0,0,0,5
77846,"SRI-2005-2-108-4",2005,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.951569,81.24523,"Asia",0,1,0,0
77741,"SRI-1994-2-384-9",1994,2,"Supporters of PA - Supporters of UNP","Supporters of PA","Supporters of UNP",7.0,81.0,"Asia",0,0,0,1
77749,"SRI-1994-2-384-5",1994,2,"Supporters of PA - Supporters of UNP","Supporters of PA","Supporters of UNP",7.0,81.0,"Asia",0,0,0,4
77751,"SRI-1994-2-384-2",1994,2,"Supporters of PA - Supporters of UNP","Supporters of PA","Supporters of UNP",7.0,81.0,"Asia",0,0,0,5
77752,"SRI-1994-2-384-4",1994,2,"Supporters of PA - Supporters of UNP","Supporters of PA","Supporters of UNP",7.0,81.0,"Asia",0,0,0,3
77753,"SRI-1994-2-384-8",1994,2,"Supporters of PA - Supporters of UNP","Supporters of PA","Supporters of UNP",7.0,81.0,"Asia",0,0,0,3
77791,"SRI-2006-2-108-12",2006,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.866667,81.533333,"Asia",0,0,0,0
77807,"SRI-2005-2-108-19",2005,2,"LTTE - LTTE - K","LTTE","LTTE - K",8.5711,81.2335,"Asia",0,0,0,0
77800,"SRI-2006-2-108-3",2006,2,"LTTE - LTTE - K","LTTE","LTTE - K",8.583333,81.083333,"Asia",11,0,0,0
77802,"SRI-2006-2-108-2",2006,2,"LTTE - LTTE - K","LTTE","LTTE - K",8.583333,81.083333,"Asia",8,0,0,0
77803,"SRI-2006-2-108-6",2006,2,"LTTE - LTTE - K","LTTE","LTTE - K",8.583333,81.083333,"Asia",15,0,0,0
77812,"SRI-2005-2-108-1",2005,2,"LTTE - LTTE - K","LTTE","LTTE - K",8.133333,81.433333,"Asia",1,0,0,0
77814,"SRI-2006-2-108-9",2006,2,"LTTE - LTTE - K","LTTE","LTTE - K",8.133333,81.433333,"Asia",23,0,0,0
77922,"SRI-2004-2-108-4",2004,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.7102,81.6924,"Asia",7,0,0,0
77841,"SRI-2006-2-108-5",2006,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.685,81.6233,"Asia",0,0,0,0
77843,"SRI-1989-2-318-3",1989,2,"EPRLF - LTTE","EPRLF","LTTE",8.8786,80.498,"Asia",28,3,0,0
77851,"SRI-1989-2-318-6",1989,2,"EPRLF - LTTE","EPRLF","LTTE",7.951569,81.24523,"Asia",0,0,0,44
77852,"SRI-2005-2-108-10",2005,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.951569,81.24523,"Asia",2,0,0,0
77855,"SRI-2006-2-108-1",2006,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.951569,81.24523,"Asia",8,10,0,0
77969,"SRI-2004-2-108-12",2004,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.966667,81.383333,"Asia",1,0,0,0
77985,"SRI-2004-2-108-3",2004,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.916667,81.533333,"Asia",0,10,3,0
77996,"SRI-2004-2-108-10",2004,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.75,81.4997,"Asia",1,0,0,0
78800,"IND-2008-2-124-30",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.91174,93.7217,"Asia",0,0,0,0
78746,"IND-2007-2-124-28",2007,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",26.169986,94.263526,"Asia",0,0,1,0
78556,"IND-2008-2-124-29",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.887746,93.731719,"Asia",0,1,0,0
78668,"IND-2007-2-124-27",2007,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",26.327806,94.287345,"Asia",0,0,4,0
82364,"IND-2007-2-124-34",2007,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.77852,93.78508,"Asia",2,0,0,0
82367,"IND-2007-2-124-1",2007,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.91174,93.7217,"Asia",0,0,1,0
82368,"IND-2007-2-124-2",2007,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.500738,93.613235,"Asia",1,0,0,0
80147,"SRI-2006-2-108-10",2006,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.786,81.591,"Asia",0,3,0,0
